price	volume	time	buy/sell	market/limit	miscellaneous	Since
1.161100	0.00000117	1606815578.9724	b	m		1606777200.0
1.163095	17.31713951	1606815578.9736	b	m		1606777200.0
1.164344	354.87441856	1606815578.975	b	m		1606777200.0
1.156463	118.18182000	1606816621.8969	s	m		1606777200.0
1.157294	76.99621000	1606816689.7859	s	m		1606777200.0
1.165045	10.01000000	1606816720.3656	b	m		1606777200.0
1.169453	66.98679000	1606816720.3674	b	m		1606777200.0
1.168254	77.00100000	1606816728.4423	b	m		1606777200.0
1.162841	137.68763927	1606816967.9162	s	l		1606777200.0
1.170000	442.65478632	1606817169.7813	b	l		1606777200.0
1.170000	31.15216273	1606817239.6836	b	l		1606777200.0
1.170000	443.09606837	1606817285.5995	b	l		1606777200.0
1.170000	221.82459422	1606817285.7633	b	l		1606777200.0
1.170000	368.62118077	1606817286.1462	b	l		1606777200.0
1.170000	31.15854700	1606817286.2043	b	l		1606777200.0
1.170000	398.42059829	1606817286.2323	b	l		1606777200.0
1.170000	442.42743589	1606817286.4254	b	l		1606777200.0
1.170000	430.11948717	1606817287.8518	b	l		1606777200.0
1.170000	790.44132000	1606817287.9199	b	l		1606777200.0
1.170000	365.12020552	1606817288.9078	b	l		1606777200.0
1.170000	369.71973778	1606817291.9889	b	l		1606777200.0
1.170000	350.14649572	1606817306.5805	b	l		1606777200.0
1.170000	14.16025641	1606817306.7097	b	l		1606777200.0
1.170000	300.93712381	1606817331.5193	b	l		1606777200.0
1.170218	17.21171987	1606817388.8737	b	l		1606777200.0
1.176682	59.07422914	1606817695.7037	b	l		1606777200.0
1.176682	273.86590818	1606817708.4475	s	l		1606777200.0
1.170218	17.21171987	1606817760.8565	s	m		1606777200.0
1.170000	156.75829848	1606817760.8581	s	m		1606777200.0
1.170000	287.27306447	1606817760.8601	s	m		1606777200.0
1.161514	529.56210600	1606818425.4197	s	m		1606777200.0
1.161513	796.51155000	1606818425.4224	s	m		1606777200.0
1.161367	173.92634400	1606818425.4243	s	m		1606777200.0
1.159408	17.21171987	1606818670.705	s	l		1606777200.0
1.161554	123.54332461	1606819872.9125	b	l		1606777200.0
1.161555	35.18950781	1606819872.9182	b	l		1606777200.0
1.152350	17.31713951	1606821644.4242	s	l		1606777200.0
1.150425	10.02007910	1606821644.4263	s	l		1606777200.0
1.145336	17.42318910	1606821674.4854	s	l		1606777200.0
1.139035	10.02001650	1606821939.0739	s	l		1606777200.0
1.138364	17.52989880	1606821939.8421	s	m		1606777200.0
1.132531	29.47010120	1606821939.8439	s	m		1606777200.0
1.132530	66.51740265	1606821966.9227	s	l		1606777200.0
1.132530	27.99586300	1606821997.2151	s	l		1606777200.0
1.132530	343.61243261	1606821997.2287	s	l		1606777200.0
1.131434	17.63726891	1606822002.4426	s	l		1606777200.0
1.127757	10.01997780	1606822007.4094	s	l		1606777200.0
1.127757	0.00004380	1606822007.4472	s	l		1606777200.0
1.124547	17.74528385	1606822007.4486	s	l		1606777200.0
1.123093	40.95831778	1606822008.2071	s	l		1606777200.0
1.120340	14.28137886	1606822008.7246	s	m		1606777200.0
1.117702	17.85395903	1606822008.7276	s	m		1606777200.0
1.116591	10.02000687	1606822008.7295	s	m		1606777200.0
1.113619	126.51571438	1606822008.7324	s	m		1606777200.0
1.113619	0.32808783	1606822008.7384	s	m		1606777200.0
1.113619	0.00085082	1606822008.7435	s	m		1606777200.0
1.113619	0.00000220	1606822008.7499	s	m		1606777200.0
1.117462	10.00000000	1606822152.8727	s	m		1606777200.0
1.117462	10.00000000	1606822155.5753	s	m		1606777200.0
1.117462	10.00000000	1606822156.3853	s	m		1606777200.0
1.128123	10.03000781	1606822424.9995	b	l		1606777200.0
1.128123	7.82395122	1606822483.2324	b	m		1606777200.0
1.130559	10.01000000	1606822483.2376	b	m		1606777200.0
1.131434	0.00004397	1606822483.2391	b	m		1606777200.0
1.134993	12.16600481	1606822483.2408	b	m		1606777200.0
1.133999	270.00000000	1606823211.4678	b	m		1606777200.0
1.130000	270.00000000	1606823248.6488	b	m		1606777200.0
1.130000	270.00000000	1606823309.4378	b	m		1606777200.0
1.117702	17.85395903	1606824942.1822	s	m		1606777200.0
1.116591	10.02000687	1606824942.1857	s	m		1606777200.0
1.112153	648.42012280	1606824942.1874	s	m		1606777200.0
1.112152	1318.00000000	1606824942.1892	s	m		1606777200.0
1.110898	17.96331051	1606824942.1919	s	m		1606777200.0
1.110158	388.96937704	1606824942.1937	s	m		1606777200.0
1.107964	1167.07998343	1606824942.1955	s	m		1606777200.0
1.107713	6431.69324032	1606824942.1992	s	m		1606777200.0
1.107714	30.00000000	1606824972.0679	s	m		1606777200.0
1.115758	13.49497312	1606825258.9786	b	m		1606777200.0
1.117181	58.28690459	1606825265.8412	b	m		1606777200.0
1.112080	30.00000000	1606825417.7385	b	m		1606777200.0
1.105536	10.02007125	1606825458.3286	s	l		1606777200.0
1.104136	18.07332223	1606825462.0146	s	l		1606777200.0
1.097415	18.18401035	1606825501.5469	s	l		1606777200.0
1.094590	10.02005271	1606825548.9432	s	l		1606777200.0
1.093400	10.00000000	1606825554.1706	s	l		1606777200.0
1.090735	4.63804938	1606825584.913	s	l		1606777200.0
1.084095	18.40743266	1606825600.3715	s	l		1606777200.0
1.083644	10.02003379	1606825600.373	s	l		1606777200.0
1.077497	46.83489911	1606825628.2518	s	l		1606777200.0
1.077497	20.41271980	1606825628.2533	s	l		1606777200.0
1.077496	18.52016686	1606825628.2562	s	l		1606777200.0
1.072808	10.02001243	1606825695.74	s	l		1606777200.0
1.070937	18.63359443	1606825764.4744	s	l		1606777200.0
1.064418	18.74771539	1606825767.0051	s	l		1606777200.0
1.062080	10.02000743	1606825768.2109	s	l		1606777200.0
1.057939	18.86252961	1606825788.0478	s	l		1606777200.0
1.057939	94.52340824	1606825788.0511	s	l		1606777200.0
1.051500	14.28598639	1606825789.6518	s	l		1606777200.0
1.051500	18.97805487	1606825789.7287	s	l		1606777200.0
1.051500	100.78679100	1606825789.9713	s	l		1606777200.0
1.051500	10.02002883	1606825790.0549	s	l		1606777200.0
1.051499	18.97805487	1606825868.2035	s	l		1606777200.0
1.051459	10.02002883	1606825869.7232	s	l		1606777200.0
1.049980	14.28598639	1606825884.6358	s	l		1606777200.0
1.045098	19.09429136	1606825906.8533	s	l		1606777200.0
1.041042	234.15642834	1606825937.2342	s	l		1606777200.0
1.041042	0.23392251	1606825937.2359	s	l		1606777200.0
1.041042	0.00023369	1606825937.2382	s	l		1606777200.0
1.041042	0.00000016	1606825937.241	s	l		1606777200.0
1.041042	498.70337123	1606825937.2541	s	m		1606777200.0
1.041042	0.00000001	1606825937.2566	s	m		1606777200.0
1.041042	40.28200000	1606825937.2666	s	m		1606777200.0
1.052503	65.83668171	1606826141.5392	b	l		1606777200.0
1.052503	52.18312009	1606826141.5979	b	l		1606777200.0
1.052503	65.89868057	1606826149.0867	b	l		1606777200.0
1.052503	17.04633724	1606826149.101	b	l		1606777200.0
1.052503	17.04633724	1606826149.1098	b	l		1606777200.0
1.054369	17.05601614	1606826157.9765	b	l		1606777200.0
1.054369	12.94398386	1606826161.1314	b	l		1606777200.0
1.054842	19.09429136	1606826176.2966	b	l		1606777200.0
1.061303	14.25174085	1606826706.5615	b	m		1606777200.0
1.061303	4.72631402	1606826751.274	b	l		1606777200.0
1.064306	10.01000000	1606826767.9053	b	l		1606777200.0
1.067803	13.02049492	1606826820.2036	b	l		1606777200.0
1.067803	5.84203469	1606826832.4159	b	l		1606777200.0
1.074342	7.31731608	1606826832.4175	b	l		1606777200.0
1.074343	13.07943552	1606826838.9996	b	l		1606777200.0
1.074343	5.66827987	1606826847.9058	b	m		1606777200.0
1.075055	10.01000000	1606826847.9084	b	m		1606777200.0
1.077622	14.32172013	1606826847.91	b	m		1606777200.0
1.064418	18.72903897	1606827393.2766	s	l		1606777200.0
1.064418	0.01867642	1606827393.2793	s	l		1606777200.0
1.061867	10.02003970	1606827431.583	s	l		1606777200.0
1.057939	18.86252961	1606827486.6093	s	l		1606777200.0
1.051499	18.97805487	1606827591.5603	s	l		1606777200.0
1.051353	10.02008792	1606827591.5624	s	l		1606777200.0
1.045098	19.09429136	1606827651.3745	s	l		1606777200.0
1.049000	24.00000000	1606827665.6692	s	l		1606777200.0
1.040944	10.02008705	1606827669.1799	s	l		1606777200.0
1.038738	5.72472800	1606827669.1822	s	l		1606777200.0
